fecha	archivo	algoritmo	nulos	tipo_umbral	num.trees	vmin.node.size	umbral_promedio	ganancia_promedio	tiempo_promedio	ganancias	umbrales				
20170312 225214	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	10.00	1000.00	0.03125	1645000.00	10.38699	1417500.00	1813333.00	1704167.00			
20170312 231419	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	10000.00	0.02866667	1635833.00	12.39068	1555000.00	1783333.00	1569167.00	0.03	28.00	28.00
20170312 222748	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	5.00	2000.00	0.03433333	1633611.00	7.578209	1418333.00	1789167.00	1693333.00	35.00	34.00	34.00
20170312 230136	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	500.00	0.04866667	1633611.00	10.92774	1330833.00	1730833.00	1839167.00	61.00	44.00	41.00
20170312 225333	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	1000.00	0.03433333	1630833.00	10.20427	1551667.00	1645000.00	1695833.00	38.00	28.00	37.00
20170312 233328	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	600.00	0.04733333	1621111.00	17.08536	1216667.00	1873333.00	1773333.00	54.00	51.00	37.00
20170312 233619	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	500.00	45.00	1621111.00	17.46036	1395833.00	1895833.00	1571667.00	56.00	42.00	37.00
20170312 232749	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	20.00	800.00	0.04133333	1614444.00	16.74449	1643333.00	1594167.00	1605833.00	57.00	35.00	32.00
20170312 230544	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_estimado	10.00	200.00	0.05033333	1610833.00	11.35695	1464167.00	1620833.00	1747500.00	65.00	38.00	48.00
20170312 222639	data/data.con.nuevas.variables.SI.NO.tsv	ranger	na.roughfix	umbral_fijo	5.00	2000.00	0.03125	1595000.00	7.512613	1377500.00	1710833.00	1696667.00			
