resultados/ganancia_ranger.1.tsv:20170313 000904	umbral_estimado	50.00	2000.00	0.03	1902500.00	32.85	1773333.00	2138333.00	1795833.00	0.03	0.04	0.04
resultados/ganancia_ranger.500.2.tsv:20170315 180133	umbral_fijo	500.00	800.00	0.03	1902222.00	374.36	1787500.00	2061667.00	1857500.00			
resultados/ganancia_ranger.500.2.tsv:20170315 184820	umbral_fijo	500.00	700.00	0.03	1901389.00	359.19	1753333.00	2015833.00	1935000.00			
resultados/ganancia_ranger.200.tsv:20170314 164928	umbral_estimado	200.00	20.00	0.06	1900833.00	141.71	1693333.00	2085833.00	1923333.00	0.07	0.05	0.05
resultados/ganancia_ranger.800.2.tsv:20170317 121957	umbral_fijo	800.00	1000.00	0.03	1900556.00	518.57	1750000.00	2034167.00	1917500.00			
resultados/ganancia_ranger.200.tsv:20170314 131233	umbral_fijo	200.00	3000.00	0.03	1899167.00	113.48	1776667.00	2063333.00	1857500.00			
resultados/ganancia_ranger.100.tsv:20170313 233537	umbral_estimado	100.00	300.00	0.04	1897500.00	63.85	1805000.00	2022500.00	1865000.00	38.00	47.00	46.00
resultados/ganancia_ranger.100.tsv:20170313 224714	umbral_estimado	100.00	1000.00	0.04	1895278.00	65.67	1750833.00	2070000.00	1865000.00	49.00	34.00	32.00
resultados/ganancia_ranger.200.tsv:20170314 132811	umbral_fijo	200.00	2000.00	0.03	1893889.00	120.57	1678333.00	2076667.00	1926667.00			
resultados/ganancia_ranger.800.4.tsv:20170317 235227	umbral_estimado	800.00	200.00	0.04	1893056.00	531.63	1770833.00	1895000.00	2013333.00	0.03	0.05	0.04
resultados/ganancia_ranger.1000.2.tsv:20170318 134830	umbral_fijo	1000.00	50.00	0.03	1891667.00	660.17	1575000.00	2137500.00	1962500.00			
resultados/ganancia_ranger.200.tsv:20170314 135541	umbral_estimado	200.00	1000.00	0.04	1890278.00	130.95	1833333.00	2008333.00	1829167.00	0.05	0.03	0.04
resultados/ganancia_ranger.0-50.tsv:20170313 002130	umbral_fijo	50.00	700.00	0.03	1890278.00	36.16	1727500.00	2006667.00	1936667.00			
resultados/ganancia_ranger.1.tsv:20170313 002130	umbral_fijo	50.00	700.00	0.03	1890278.00	36.16	1727500.00	2006667.00	1936667.00			
resultados/ganancia_ranger.1000.2.tsv:20170318 151509	umbral_fijo	1000.00	20.00	0.03	1889722.00	655.07	1615833.00	2066667.00	1986667.00			
resultados/ganancia_ranger.100.tsv:20170313 232616	umbral_estimado	100.00	500.00	0.05	1888889.00	73.80	1770000.00	2055000.00	1841667.00	52.00	0.05	41.00
resultados/ganancia_ranger.200.tsv:20170314 134459	umbral_fijo	200.00	1000.00	0.03	1887222.00	131.93	1819167.00	1979167.00	1863333.00			
resultados/ganancia_ranger.0-50.tsv:20170313 001612	umbral_fijo	50.00	800.00	0.03	1887222.00	35.96	1782500.00	1929167.00	1950000.00			
resultados/ganancia_ranger.1.tsv:20170313 001612	umbral_fijo	50.00	800.00	0.03	1887222.00	35.96	1782500.00	1929167.00	1950000.00			
